"KOD_DAERAH","DAERAH"
"0101","BATU PAHAT"
"0102","JOHOR BAHRU"
"0103","KLUANG"
"0104","KOTA TINGGI"
"0105","MERSING"
"0106","MUAR"
"0107","PONTIAN"
"0108","SEGAMAT"
"0109","KULAI"
"0110","TANGKAK"
"0201","BALING"
"0202","BANDAR BAHARU"
"0203","KOTA SETAR"
"0204","KUALA MUDA"
"0205","KUBANG PASU"
"0206","KULIM"
"0207","LANGKAWI"
"0208","PADANG TERAP"
"0209","SIK"
"0210","YAN"
"0211","PENDANG"
"0212","POKOK SENA"
"0301","BACHOK"
"0302","KOTA BHARU"
"0303","MACHANG"
"0304","PASIR MAS"
"0305","PASIR PUTEH"
"0306","TANAH MERAH"
"0307","TUMPAT"
"0308","GUA MUSANG"
"0309","KUALA KRAI"
"0310","JELI"
"0311","JAJAHAN KECIL LOJING"
"0401","ALOR GAJAH"
"0402","JASIN"
"0403","MELAKA TENGAH"
"0501","JELEBU"
"0502","KUALA PILAH"
"0503","PORT DICKSON"
"0504","REMBAU"
"0505","SEREMBAN"
"0506","TAMPIN"
"0507","JEMPOL"
"0601","BENTONG"
"0602","CAMERON HIGHLANDS"
"0603","JERANTUT"
"0604","KUANTAN"
"0605","LIPIS"
"0606","PEKAN"
"0607","RAUB"
"0608","TEMERLOH"
"0609","ROMPIN"
"0610","MARAN"
"0611","BERA"
"0701","SEBERANG PERAI TENGAH"
"0702","SEBERANG PERAI UTARA"
"0703","SEBERANG PERAI SELATAN"
"0704","TIMUR LAUT"
"0705","BARAT DAYA"
"0801","BATANG PADANG"
"0802","MANJUNG"
"0803","KINTA"
"0804","KERIAN"
"0805","KUALA KANGSAR"
"0806","LARUT DAN MATANG"
"0807","HILIR PERAK"
"0808","HULU PERAK"
"0809","PERAK TENGAH"
"0810","KAMPAR"
"0811","MUALLIM"
"0812","BAGAN DATUK"
"0813","SELAMA"
"0901","PERLIS"
"1001","GOMBAK"
"1002","KLANG"
"1003","KUALA LANGAT"
"1004","KUALA SELANGOR"
"1005","PETALING"
"1006","SABAK BERNAM"
"1007","SEPANG"
"1008","HULU LANGAT"
"1009","HULU SELANGOR"
"1101","BESUT"
"1102","DUNGUN"
"1103","KEMAMAN"
"1104","KUALA TERENGGANU"
"1105","MARANG"
"1106","HULU TERENGGANU"
"1107","SETIU"
"1108","KUALA NERUS"
"1201","TAWAU"
"1202","LAHAD DATU"
"1203","SEMPORNA"
"1204","SANDAKAN"
"1205","KINABATANGAN"
"1206","BELURAN"
"1207","KOTA KINABALU"
"1208","RANAU"
"1209","KOTA BELUD"
"1210","TUARAN"
"1211","PENAMPANG"
"1212","PAPAR"
"1213","KUDAT"
"1214","KOTA MARUDU"
"1215","PITAS"
"1216","BEAUFORT"
"1217","KUALA PENYU"
"1218","SIPITANG"
"1219","TENOM"
"1220","NABAWAN"
"1221","KENINGAU"
"1222","TAMBUNAN"
"1223","KUNAK"
"1224","TONGOD"
"1225","PUTATAN"
"1226","TELUPID"
"1227","KALABAKAN"
"1228","MEMBAKUT"
"1301","KUCHING"
"1302","BAU"
"1303","LUNDU"
"1304","SAMARAHAN"
"1305","SERIAN"
"1306","SIMUNJAN"
"1307","SRI AMAN"
"1308","LUBOK ANTU"
"1309","BETONG"
"1310","SARATOK"
"1311","SARIKEI"
"1312","MARADONG"
"1313","DARO"
"1314","JULAU"
"1315","SIBU"
"1316","DALAT"
"1317","MUKAH"
"1318","KANOWIT"
"1319","BINTULU"
"1320","TATAU"
"1321","KAPIT"
"1322","SONG"
"1323","BELAGA"
"1324","MIRI"
"1325","MARUDI"
"1326","LIMBANG"
"1327","LAWAS"
"1328","MATU"
"1329","ASAJAYA"
"1330","PAKAN"
"1331","SELANGAU"
"1332","TEBEDU"
"1333","PUSA"
"1334","KABONG"
"1335","TANJUNG MANIS"
"1336","SEBAUH"
"1337","BUKIT MABONG"
"1338","SUBIS"
"1339","BELURU"
"1340","TELANG USAN"
"1341","GEDONG"
"1342","SEBUYAU"
"1343","SIBURAN"
"1344","PANTU"
"1345","LINGGA"
"1401","KUALA LUMPUR"
"1501","LABUAN"
"1601","PUTRAJAYA"
"997","TIDAK BERKENAAN"
"999","TIADA MAKLUMAT"
