KOD_NEGERI,NEGERI,KOD_DAERAH,DAERAH,COEFFICIENTS,KOD_STRATA,STRATA,KOD_JANTINA,JANTINA,KOD_KUMP_ETNIK,KUMP_ETNIK,KOD_KEWARGANEGARAAN,KEWARGANEGARAAN
1,Johor,1,Batu Pahat,,0,Bandar,0,Lelaki,1,Melayu,1,Warganegara
1,Johor,2,Johor Bahru,,1,Luar bandar,1,Perempuan,2,Cina,,
1,Johor,3,Kluang,,,,,,3,India,,
1,Johor,4,Kota Tinggi,,,,,,4,Lain-lain,,
1,Johor,5,Kulai/Kulaijaya,,,,,,,,,
1,Johor,6,Ledang/Tangkak,,,,,,,,,
1,Johor,7,Mersing,,,,,,,,,
1,Johor,8,Muar,,,,,,,,,
1,Johor,9,Pontian,,,,,,,,,
1,Johor,10,Segamat,,,,,,,,,
2,Kedah,11,Baling,,,,,,,,,
2,Kedah,12,Bandar Baharu,,,,,,,,,
2,Kedah,13,Kota Setar,,,,,,,,,
2,Kedah,14,Kuala Muda,,,,,,,,,
2,Kedah,15,Kubang Pasu,,,,,,,,,
2,Kedah,16,Kulim,,,,,,,,,
2,Kedah,17,Langkawi,,,,,,,,,
2,Kedah,18,Padang Terap,,,,,,,,,
2,Kedah,19,Pendang,,,,,,,,,
2,Kedah,20,Pokok Sena,,,,,,,,,
2,Kedah,21,Sik,,,,,,,,,
2,Kedah,22,Yan,,,,,,,,,
3,Kelantan,23,Bachok,,,,,,,,,
3,Kelantan,24,Gua Musang,,,,,,,,,
3,Kelantan,25,Jeli,,,,,,,,,
3,Kelantan,26,Kota Bharu,,,,,,,,,
3,Kelantan,27,Kuala Krai,,,,,,,,,
3,Kelantan,28,Lojing,,,,,,,,,
3,Kelantan,29,Machang,,,,,,,,,
3,Kelantan,30,Pasir Mas,,,,,,,,,
3,Kelantan,31,Pasir Puteh,,,,,,,,,
3,Kelantan,32,Tanah Merah,,,,,,,,,
3,Kelantan,33,Tumpat,,,,,,,,,
4,Melaka,34,Alor Gajah(Melaka Utara),,,,,,,,,
4,Melaka,35,Jasin(Melaka Selatan),,,,,,,,,
4,Melaka,36,Melaka Tengah,,,,,,,,,
5,Negeri Sembilan,37,Jelebu,,,,,,,,,
5,Negeri Sembilan,38,Jempol,,,,,,,,,
5,Negeri Sembilan,39,Kuala Pilah,,,,,,,,,
5,Negeri Sembilan,40,Port Dickson,,,,,,,,,
5,Negeri Sembilan,41,Rembau,,,,,,,,,
5,Negeri Sembilan,42,Seremban,,,,,,,,,
5,Negeri Sembilan,43,Tampin,,,,,,,,,
6,Pahang,44,Bentong,,,,,,,,,
6,Pahang,45,Bera,,,,,,,,,
6,Pahang,46,Cameron Highlands,,,,,,,,,
6,Pahang,47,Jerantut,,,,,,,,,
6,Pahang,48,Kuantan,,,,,,,,,
6,Pahang,49,Lipis,,,,,,,,,
6,Pahang,50,Maran,,,,,,,,,
6,Pahang,51,Pekan,,,,,,,,,
6,Pahang,52,Raub,,,,,,,,,
6,Pahang,53,Rompin,,,,,,,,,
6,Pahang,54,Temerloh,,,,,,,,,
7,Pulau Pinang,55,Barat Daya,,,,,,,,,
7,Pulau Pinang,56,S.P. Selatan,,,,,,,,,
7,Pulau Pinang,57,S.P.Tengah,,,,,,,,,
7,Pulau Pinang,58,S.P.Utara,,,,,,,,,
7,Pulau Pinang,59,Timur Laut,,,,,,,,,
8,Perak,60,Bagan Datuk,,,,,,,,,
8,Perak,61,Batang Padang,,,,,,,,,
8,Perak,62,Hilir Perak,,,,,,,,,
8,Perak,63,Hulu Perak,,,,,,,,,
8,Perak,64,Kampar,,,,,,,,,
8,Perak,65,Kerian,,,,,,,,,
8,Perak,66,Kinta,,,,,,,,,
8,Perak,67,Kuala Kangsar,,,,,,,,,
