Item,Variable,Coefficient,Feature,,,,,,,
Constant,Constant,2.84E+00,-,2.838,,2.838,,,,
HH_Income,ginc_hh,6.39E-01,8.517193191,5.44E+00,,,,,,
Batu Pahat,negeri_dp_Johor_BatuPahat,-2.05E-01,0,0.00E+00,,,,,,
Johor Bahru,negeri_dp_Johor_JohorBahru,-1.09E-01,0,0.00E+00,,,,,,
Kluang,negeri_dp_Johor_Kluang,-1.37E-01,0,0.00E+00,,,,,,
Kota Tinggi,negeri_dp_Johor_KotaTinggi,-1.08E-01,0,0.00E+00,,,,,,
Kulai/Kulaijaya,negeri_dp_Johor_KulaiKulaijaya,-1.19E-01,0,0.00E+00,,,,,,
Ledang/Tangkak,negeri_dp_Johor_LedangTangkak,-2.12E-01,0,0.00E+00,,,,,,
Mersing,negeri_dp_Johor_Mersing,-1.21E-01,0,0.00E+00,,,,,,
Muar,negeri_dp_Johor_Muar,-9.36E-02,0,0.00E+00,,,,,,
Pontian,negeri_dp_Johor_Pontian,-1.41E-01,0,0.00E+00,,,,,,
Segamat,negeri_dp_Johor_Segamat,-2.47E-01,0,0.00E+00,,,,,,
Baling,negeri_dp_Kedah_Baling,-3.48E-01,0,0.00E+00,,,,,, 
Bandar Baharu,negeri_dp_Kedah_BandarBaharu,-4.12E-01,0,0.00E+00,,,,,,
Kota Setar,negeri_dp_Kedah_KotaSetar,-1.43E-01,0,0.00E+00,,,,,,
Kuala Muda,negeri_dp_Kedah_KualaMuda,-1.97E-01,0,0.00E+00,,,,,,
Kubang Pasu,negeri_dp_Kedah_KubangPasu,-2.31E-01,0,0.00E+00,,,,,,
Kulim,negeri_dp_Kedah_Kulim,-2.72E-01,0,0.00E+00,,,,,,
Langkawi,negeri_dp_Kedah_Langkawi,-2.97E-01,0,0.00E+00,,,,,,
Padang Terap,negeri_dp_Kedah_PadangTerap,-1.19E-01,0,0.00E+00,,,,,,
Pendang,negeri_dp_Kedah_Pendang,-1.71E-01,0,0.00E+00,,,,,,
Pokok Sena,negeri_dp_Kedah_PokokSena,-1.43E-01,0,0.00E+00,,,,,,
Sik,negeri_dp_Kedah_Sik,-1.97E-01,0,0.00E+00,,,,,,
Yan,negeri_dp_Kedah_Yan,-2.30E-01,0,0.00E+00,,,,,,
Bachok,negeri_dp_Kelantan_Bachok,-2.51E-01,0,0.00E+00,,,,,,
Gua Musang,negeri_dp_Kelantan_GuaMusang,-7.19E-02,0,0.00E+00,,,,,,
Jeli,negeri_dp_Kelantan_Jeli,-1.17E-01,0,0.00E+00,,,,,,
Kota Bharu,negeri_dp_Kelantan_KotaBharu,-1.69E-01,0,0.00E+00,,,,,,
Kuala Krai,negeri_dp_Kelantan_KualaKrai,-1.86E-01,0,0.00E+00,,,,,,
Lojing,negeri_dp_Kelantan_Lojing,-1.56E-01,0,0.00E+00,,,,,,
Machang,negeri_dp_Kelantan_Machang,-2.42E-01,0,0.00E+00,,,,,,
Pasir Mas,negeri_dp_Kelantan_PasirMas,-1.78E-01,0,0.00E+00,,,,,,
Pasir Puteh,negeri_dp_Kelantan_PasirPuteh,-1.16E-01,0,0.00E+00,,,,,,
Tanah Merah,negeri_dp_Kelantan_TanahMerah,-1.49E-01,0,0.00E+00,,,,,,
Tumpat,negeri_dp_Kelantan_Tumpat,-4.10E-02,0,0.00E+00,,,,,,
Alor Gajah(Melaka Utara),negeri_dp_Melaka_AlorGajahMelakaUtara,-5.42E-02,0,0.00E+00,,,,,,
Jasin(Melaka Selatan),negeri_dp_Melaka_JasinMelakaSelatan,-6.11E-02,0,0.00E+00,,,,,,
Melaka Tengah,negeri_dp_Melaka_MelakaTengah,2.33E-03,0,0.00E+00,,,,,,
Jelebu,negeri_dp_NegeriSembilan_Jelebu,-1.32E-01,0,0.00E+00,,,,,,
Jempol,negeri_dp_NegeriSembilan_Jempol,-1.39E-01,0,0.00E+00,,,,,,
Kuala Pilah,negeri_dp_NegeriSembilan_KualaPilah,-9.41E-02,0,0.00E+00,,,,,,
Port Dickson,negeri_dp_NegeriSembilan_PortDickson,-1.09E-01,0,0.00E+00,,,,,,
Rembau,negeri_dp_NegeriSembilan_Rembau,-1.14E-01,0,0.00E+00,,,,,,
Seremban,negeri_dp_NegeriSembilan_Seremban,-1.33E-01,0,0.00E+00,,,,,,
